      0.22,      0.01,      4.13,      0.86,      0.23,      0.01,      5.35,      1.11,      0.26,      0.01,      5.09,      1.06,      0.18,      0.01,      2.97,      0.62,      0.19,      0.01,      3.12,      0.65
      0.39,      0.01,      9.69,      2.00,      0.42,      0.01,     10.35,      2.13,      0.46,      0.01,     11.17,      2.30,      0.39,      0.01,      9.11,      1.88,      0.44,      0.01,     10.74,      2.21
      0.58,      0.01,     14.50,      2.98,      0.59,      0.01,     14.97,      3.07,      0.57,      0.01,     14.07,      2.89,      0.61,      0.01,     14.93,      3.06,      0.61,      0.01,     15.14,      3.11
      0.80,      0.01,     18.84,      3.86,      0.88,      0.01,     20.41,      4.19,      0.78,      0.01,     18.53,      3.80,      0.83,      0.01,     19.49,      4.00,      0.82,      0.01,     19.12,      3.92
      1.04,      0.01,     22.64,      4.64,      1.01,      0.01,     22.45,      4.60,      1.01,      0.01,     22.31,      4.57,      1.06,      0.01,     22.84,      4.68,      0.99,      0.01,     21.79,      4.47
      1.20,      0.01,     25.53,      5.23,      1.21,      0.01,     24.85,      5.09,      1.20,      0.01,     25.26,      5.18,      1.22,      0.01,     25.42,      5.21,      1.18,      0.01,     24.62,      5.05
      1.42,      0.01,     28.92,      5.92,      1.40,      0.01,     28.16,      5.77,      1.41,      0.01,     28.50,      5.84,      1.42,      0.01,     28.16,      5.77,      1.38,      0.01,     27.47,      5.63
